id,nome,descricao,lei_de_criacao,lei_de_alteracao,zona_de_planejamento,geom
1,OLARIA,Lei de Criação: Lei n° 840/1989<br>Lei de Alteração: Sem Alteração<br>Zona de Planejamento: ZONA 1,Lei n° 840/1989,Sem Alteração,ZONA 1,0103000020EC7C0000010000001100000061DC70981B671841DA64D62C523A61410D0C0A82CA69184141B65DEDEA39614113A79C7D45751841BA24F8A9FE39614109A7C550827B1841D71EEA37093A61410EC1516A7A791841224C57A1513A6141BABB3E873A7918416A7E2782583A61411C297CE2CF7818413C1A00A15A3A61411683CEC18978184148A3B2CE5C3A61410C80686148781841C55FB225603A6141E20F8143E57218413B0ECD7A563A6141D6C39F7B7A721841A662B8D3653A614187AFDEC643721841020868B7673A614149EB4449DB721841E796B571823A6141BA5958358D711841BC0658E2833A61413543BB1CB86B1841D10BFC547A3A61411CFA4388466618419E98EADF6F3A614161DC70981B671841DA64D62C523A6141
2,AREAL,Lei de Criação: Lei n° 840/1989<br>Lei de Alteração: Sem Alteração<br>Zona de Planejamento: ZONA 1,Lei n° 840/1989,Sem Alteração,ZONA 1,0103000020EC7C000001000000A1000000ED1C3E9EF0741841A82D097263396141A9E1A1F7AF741841D5575618633961413CD22B2953741841DF7D7BB3623961410A67C4B335741841E183B06F6239614197B9B5691E74184120D22B0C623961417DBA1D85F273184151CC0AAD60396141BD22D372C773184166128810603961419B781C3FED7518411A8494950C396141EC724FED1076184120A1BC080C396141927A43A170761841825ADB110939614188A4151A027718410D398F6E05396141F2A390BA5677184142E43776033961415AE5EF65917718415914D77901396141C97D0C03DF7718410D7BE828FF38614195B0B0784B7818414E055939FC38614108548AE383781841558A4CEAFA386141D98D9A5E1579184144912727F73861419A71D1128F7918417FFBB39FF3386141D3CB64D01A7A1841EF5DAC1FF03861410721434F747A184119365AC4ED3861419D762AB3A57A1841F67AB54AEC386141C5E69E54E07A18412748B4CDEA386141647F2BC5067B1841189917B1E838614132867E4A277B18419FAD8D2DE938614116005425617B18411DD32612EC38614168874B0B9F7B184153A34EDFED3861415F416CE6E47B18416F1D3D2DEF38614171D760F00F7C18413352E433F03861413138A692157C18410C9E9852F138614174F45849F97B18417E0B2EFEF2386141686024DDDA7B1841C8D26DD5F33861417CC25E44C57B184157386454F4386141F4C4232EC57B184199418676F53861414C614779DF7B1841590350D5F6386141BAD01E4A0C7C1841665763A3F7386141547DA0C7517C18413BDFA2F9F73861418631DB768A7C1841812952EBF8386141A1CF013F0B7D1841A7E8FCA0FA38614100F846A1A77D1841860E63DCFD3861415F373F2F597E184145FED06A00396141F05175609C7E184171CD120A023961413B97AC8AD17E1841AF68B0FB02396141869D4DDCD27E184100A640FF02396141DDAA976C317F1841671FAB67033961413ADBDB4D327F18417A6DAF67033961417B7C1B41697F18415CCE6A0404396141CF3FEBCC9F7F1841F775D72804396141FC363C02D57F18417BE3638904396141B58403D31F80184107CC9747043961413202E1EA6B801841944C599304396141B9350720AC80184157591BF404396141A00B9D8DE7801841CD39188B04396141F37B46EA1F811841DBDE06F4033961417A90A6EE618118417DB585AE033961416E82A0079C811841A1CFDD68033961413F3EF3BFDF8118417F4475E2033961410C654D2131821841AFA98B1504396141AA7D72A734821841A8BA750704396141F39D60CE3E82184192F5F799033961413BAEE6E758821841152F58C0013961411AAB66FE638218414C5E589700396141F1D8ACFE768218415FE5B983FF386141780682A99A82184163095621FF386141299512F1C482184176049D94FE38614188745CA4F382184169DA35C1FD3861418B011E1C208318410D1B735BFD386141B23B095D76831841DFDA671DFD386141BAFE7467BF831841CD431B0DFD3861419EAA0953DD831841E4A49906FD38614160CE9A8E0E84184152BD249CFD3861417A488B324B84184112FA0C9CFE3861412B91F7FC9B841841F2538DC5003961416D9115EDEF841841EBB2AA0C02396141AED9A64D2E8518412979725A033961414CA16EEE4585184134EBA211053961410973E1714985184170BFEE2605396141C87FC358B4851841253BE34F05396141C3D8972CC485184108F71B770539614185F3543EC785184143C38C9A05396141816FFE37918518411242A6F30F396141355D86A34D8518414CED6E31193961412D2E78041E851841A68DC95520396141C048B9AEB38418419BC2A5D52F396141577AB45FE98318415D3A3CA44B396141927733CBEB8218412F113B43703961412BE5CB38978218417742030E7D3961411E39195596821841EEFBD62D7D396141D66E3EC2BF80184131694D687A396141A6F5E195988018416F2017997A396141449AEA6912801841D395B0487A3961410DCBD22D897F1841EF499EBF7939614127EF8C6B877F1841BCE80BBC793961419324741A867F1841921E68B179396141A8366574757F1841772907C478396141E4DD63F0717F184172D7CEB5783961419E736F89577F18413C2CEBBF78396141E14929E6547F184123B6CAB87839614134E5F6D7347F18411AF0E2E37739614184529967347F1841E90157E07739614104E451A0127F1841B150908F763961416F643B590D7F184188F262887639614167921ECFFE7E184187CB55CB7639614107321F6CEB7E18410E71F526773961413FC6C305E77E1841E4EEDF2677396141748EFBB2D37E18415FC534AE76396141DF7440D2D27E1841AEE81CA776396141B31F2620B77E1841193BBE58763961416C4CC8CEB57E1841A037A4517639614140B12A40A47E184152F7C6C375396141C5252A7EA27E184109CDAABC75396141A63D0D42717E184136DCA82A753961418CFB0C61707E1841E9C61A27753961410AB0C08C3C7E18418958E7FC73396141E4A9E7C8F27D18413C74FDFD71396141AB03A89EC17D18412AE6758270396141B013EDBDC07D184191085E7B70396141DE01D2F9A17D1841C528180D70396141EA6B8C37A07D18419AC4850970396141CAE985A3987C1841E7E6036470396141587770E0967C184190D80E6B703961415F23ED68667C184199981D5071396141263185562F7C1841DEE6BC467239614119CACC412C7C18415C99374A72396141E8D5B8E49C7B184123BA695A7139614138CED90B657B18411251BCF270396141AAA2F1B9637B18415ED9B5F270396141C46E4E28387B18414A364215713961417B2D7E65367B1841435EC3187139614154030732CC7A18414574B13E73396141D07FD159977A1841C1FC5CD97339614103C0FEC1817A1841B3462C4A74396141C8ED45EB7C7A184194C48A4674396141AC2CF2E32D7A18419252731272396141BA7A548B017A18415179C6DD70396141E46154C9FF791841FB47AAD6703961412A26E85FD379184182CF5B7D70396141D012E89DD1791841E59D3F7670396141DD2F8159BA7918411AFA6DC86F396141AA010C79B97918417351CCBD6F396141A42CC4CBAC79184192D392A96E396141D87094EBAB791841FA62679B6E396141CBD76F8A787918410B3B5D516D3961412791121A787918418B4AD14D6D3961412DD927073B7918412B8820356C3961410B30902524791841FFD2C33B6C39614145CBB26EEB78184196439CA96B396141E62B9653867818414E27EC7A6A396141B62271EB2D781841811428166A39614156FAA94D0A78184113AC2BCB693961410C74DCF3E4771841C9DB3B2B69396141FE478CB4A177184180A96B4068396141D86007EF56771841E67611EA673961410424537506771841C05E885E673961415C08697A917618418D884CA4663961410EEF502838761841A090BCB066396141C71B2512F775184161B7E0486639614107075E46D17518417A619FBA6539614144B8C65FB375184147F3E57D65396141D8DABA1D5A751841B3A094B9643961410A59CED51A751841B1A59CB963396141ED1C3E9EF0741841A82D097263396141
3,MILITAR,Lei de Criação: Lei n° 840/1989<br>Lei de Alteração: Sem Alteração<br>Zona de Planejamento: ZONA 1,Lei n° 840/1989,Sem Alteração,ZONA 1,0103000020EC7C000001000000760000004416CB0A8668184103D2C2F1EE376141D21E5D250C6F18415B9B699621386141FCC226657673184104DF39D343386141CC8E5F747F791841675043AF72386141944856D36B791841BD782235763861410F952D2D9D77184155547CCEC33861412257986531761841C42F61BD01396141026C4B8B08761841E423C3E4003961413E67BDB6A37218412F3D2376E8386141F2B1EA54EB7118416E57842EE3386141A86B690142701841C8EDC11DD6386141EEE07831CD6F18412A48A042D3386141CE06ACA30A6E1841BF3B8CD9CD386141C454B420236C18410E1F4873C8386141215F1C0A07691841AA820068BF38614114B2A65D90681841D8587EE0BD386141482DC6CD446818416D21836BBC38614182164A28F3671841AE5ABCFEB93861415B7ED7F28D67184189992A87B4386141F4BCABF1E0661841C0FC6D70AA386141C8BC2F0A6C6518418AACE35D91386141F74FF8FBF164184143A8CF6D88386141ABC4B2D7E16318411DB545967A3861419A7EE9BDDB6218415E0BC1C46D386141C33CDEFB59621841504503B86738614106C765C11762184123C7EA1265386141480DA95B996118415959E61161386141EEB4E826D16018410C4C3BB85B386141FA1A52FF4C5F1841D09458D251386141748197AC0E5F1841A427C6E14F38614152C50DA9865E1841240AE2164B3861411D40977D045E184121E934B5443861410B8F1153C65D18418B3B97C340386141E3C90E4FE15C1841193C53E93238614159F265DE815C184120C551E42C3861412C6AC041595C1841E9D746012938614130865288475C18414F7BD6FE2438614121763D90475C1841A157B3FB1E38614154EBCC96705C1841E40AF31D073861415AC9EDB8665C1841E82458E503386141D07CF04E3A5C1841B93D2E01FE376141C8B4CD85F05B1841352F3BC5F6376141989B3A848B5B1841E944C2D0EE3761416C5E952B485B1841096E98A0E9376141B69AACD1005B1841DDA7F504E5376141A0A85A2CA75A18415B190013DE376141000E5AFB5A5A1841C996CE7AD9376141F54565F6DB591841F4265941D237614173AACAFC52591841BD8EF4F4C83761413A96779AFD581841A314F9C7C33761419995C58C4D58184114E52183B9376141ACC110DEE2571841A8349EA4B63761415719F3966257184126688441B4376141FE7C9B99E75618415FA836C2B13761414685CFF55756184172E00BEAAE3761410E550B63D25418417CBFA617AC37614131AE7AE9F3531841AE29E951AA376141E652F00E1F5318414987E247A9376141284E0EB8465218419E1D1AD0A7376141CE9F56C755511841D39C11E3A53761412A709FB798501841E0024868A4376141F064064D574F1841B071F70BA23761414996CFA6BB4E1841BE27ADDFA037614141FA8E852E4E1841524422B09F3761417E7081C6934D184102458E399E3761412123B1A5F84C1841FEEC70079C3761416823F732674C18417486FAD199376141F09C9AC1BC4B18419381A69296376141A82006CDFF4A184173942DC4933761415C0D1F16EE491841CB00480F8F376141961824E99E4818413B7D1BB48837614155D60D2E0C4818417515D90986376141295B17A89447184194D3093F843761411D0BDB3799461841E7F33B9681376141754CBF2858461841DCB51AEB803761418109BC675E461841C2AAB4D37F37614125C1671A7D4618418B8BEA877B376141E97B18369C4618419EFAAA9B77376141304322C4AC46184140CD5A20743761412A740EA80D47184169EB604E6D3761416166B6BC3A47184189C114B66A376141267624C17347184166257E6267376141AD526EE1BA47184150001DAC63376141529381FAFA471841BB1E36D25F376141076D4375524818410A2D04285B376141F2A9A7DA92481841FB4C8E16593761413EF009BB19491841A8695BE455376141C80EDE21954918414D44B12653376141C079C784784A184155CF0A6A4E376141701592BBDE4A18419580678E4C376141116AD1424E4B18417484CFBE493761411483733CAF4B1841B1FB266047376141AD9BFA21014C18414343678646376141CCE9D4D5134D1841B86D0844443761416DE3F11A044E18411A3B927B43376141EB380C8AE74E18413AB711AE4337614150F69CD5B14F18413C92BFA9443761411CC67AB2CE501841C6047E6F47376141D1EE368A17521841FCFE18644A3761414D9AFC74DB5218419401D5264E376141B16AA34CD2531841F61FDB48533761418EEDBC06905418418BAD127257376141129264207A551841ACE54D625C3761416C0AB5D05D561841379ED3F15E3761417888A39C4157184165B00F2360376141B05AB1ED4A581841C8C821BE5F376141E4DEA03C61591841CBF3BA605C3761419B95636E715A18413237996E58376141D604AFE1EF5A184116AEF60C56376141E2567E3ECD5B1841D70EB7874F3761417B4C30521F5C1841EBDA105F4C376141BB69EB1E685D1841A2A5A1AB44376141FBED0663965D184152BD79BF43376141AB847559B85F1841488006206B37614116418491FB621841D23ABFD0A0376141DE43DA67B36518413FA43363CA376141B7039F08846818414C3BEA7BEC3761414416CB0A8668184103D2C2F1EE376141
