id,banco,lixo,coberto,geom
89,f,f,,0101000020EC7C0000CAC05F324B7A184166A3FB4249396141
90,t,f,,0101000020EC7C00003D12005B377E184186A127BAB2386141
91,f,f,,0101000020EC7C00000AA07D0B418418416704351822386141
92,t,t,,0101000020EC7C0000175DD2653A861841D2731EE225386141
93,t,f,,0101000020EC7C000008A80F3BBF801841CD2BC06C5E386141
94,t,f,,0101000020EC7C0000A02BD97C978018415005DEBC5B386141
95,,,,0101000020EC7C000095EF3E75C57818419486B9453A376141
96,,,,0101000020EC7C000075B938B0107718419680A785B5376141
97,,,,0101000020EC7C0000000A25225B7B18416472765501386141
98,t,,,0101000020EC7C0000B35EC8ABA08A1841A11BAC2E2E386141
99,f,f,,0101000020EC7C00009895BD52198B18419A5AF58C2E386141
100,,,,0101000020EC7C00004E1CA8FDAA8618413231FCED26386141
101,f,f,,0101000020EC7C00000B69BC8B9A95184129269E0916376141
102,,,,0101000020EC7C0000E670D6AFE48318414D49F316EC376141
103,,,,0101000020EC7C000015C67819427718417FD73C23FF376141
104,,,,0101000020EC7C0000FDC78E02309018415EDE0BEB52376141
105,,,,0101000020EC7C0000D43302A8738A18419100DC22D1376141
106,,,,0101000020EC7C00003E8D188032771841FF17B26686376141
107,,,,0101000020EC7C0000701CF826529018413C1F02E21D396141
108,,,,0101000020EC7C000095FBDBC9D0801841B30046F807376141
109,,,,0101000020EC7C0000933142CA1280184105B1219078386141
110,,,,0101000020EC7C0000F516D81736761841BED810F9EE376141
111,,,,0101000020EC7C000045AF72C2A074184150720D67C9376141
112,,,,0101000020EC7C00001E7643D9A8801841BCB1390AA8376141
113,t,f,,0101000020EC7C0000BE8194BB5C661841F447B24A6D3A6141
114,,,,0101000020EC7C00005390E8D09D871841A3E31DFC6A3A6141
115,,,,0101000020EC7C00007946E9AF7F9C18410B75DAE5E33A6141
116,,,,0101000020EC7C00008B5E0C2AA89F18413B8A983AC83A6141
117,,,,0101000020EC7C0000C8DEA0A7FA7D1841B7DB1802A3396141
118,,,,0101000020EC7C00004EAE5D2355A21841D5DBEBE16E3A6141
119,t,t,,0101000020EC7C0000F8D2A3FAA16718418FD3D4E83F3A6141
120,,,,0101000020EC7C00000CF15A0DC87A1841D59CA8D7E2396141
121,,,,0101000020EC7C00007465A6A16E74184196D8A0E231396141
122,,,,0101000020EC7C00005A7AD433317A1841AD8F77D0FB396141
123,,,,0101000020EC7C000012B0DFE721821841E9F0FC5A94396141
124,,,,0101000020EC7C00006D1FCFFB2879184165EFA9921C3A6141
125,,,,0101000020EC7C000060D017B9CF791841E1FCE879533A6141
126,t,t,,0101000020EC7C0000434FFEE584671841D800CAFF403A6141
127,,,,0101000020EC7C0000A1B862298B8C1841758DCC62733A6141
128,,,,0101000020EC7C00003A1900276E7818410BBB3BFC39396141
129,,,,0101000020EC7C00001B9F67440C951841EEFD16B699396141
130,,,,0101000020EC7C00002E38975B588E18419F67D9C9903A6141
131,,,,0101000020EC7C000029AFEC246294184195B6F592B2396141
132,t,,,0101000020EC7C0000B06ABCF96EB41841433695EAC4386141
133,,,,0101000020EC7C000018EFAE94597D18411FE8F525D2386141
134,t,f,,0101000020EC7C0000BA9B9310A4B51841E0EF2C18CD386141
135,,,,0101000020EC7C0000F8D1FE41169018412DA4B88D533A6141
136,,,,0101000020EC7C0000FCC81FCE94731841CC467324AC396141
137,t,f,,0101000020EC7C00000212CC269CB118418FFF2AE7E0386141
